CustomerID,FirstName,LastName,Email,Phone,TotalSpent,Frequency,Recency,HighValue
1000,Jane,Brown,user1000@example.com,1234567891000,365.62,1.0,690.0,1
1001,Chris,Johnson,user1001@example.com,1234567891001,0.0,0.0,714.0,0
1002,Emily,Brown,user1002@example.com,1234567891002,0.0,0.0,714.0,0
1003,Jane,Smith,user1003@example.com,1234567891003,0.0,0.0,714.0,0
1004,Chris,Williams,user1004@example.com,1234567891004,0.0,0.0,714.0,0
1005,John,Brown,user1005@example.com,1234567891005,0.0,0.0,714.0,0
1006,Alex,Johnson,user1006@example.com,1234567891006,48.39,1.0,694.0,0
1007,Emily,Johnson,user1007@example.com,1234567891007,0.0,0.0,714.0,0
1008,Chris,Johnson,user1008@example.com,1234567891008,245.49,1.0,687.0,0
1009,Alex,Smith,user1009@example.com,1234567891009,0.0,0.0,714.0,0
1010,John,Jones,user1010@example.com,1234567891010,0.0,0.0,714.0,0
1011,John,Johnson,user1011@example.com,1234567891011,0.0,0.0,714.0,0
1012,Chris,Brown,user1012@example.com,1234567891012,0.0,0.0,714.0,0
1013,Emily,Brown,user1013@example.com,1234567891013,0.0,0.0,714.0,0
1014,Jane,Jones,user1014@example.com,1234567891014,0.0,0.0,714.0,0
1015,Chris,Brown,user1015@example.com,1234567891015,0.0,0.0,714.0,0
1016,Alex,Jones,user1016@example.com,1234567891016,0.0,0.0,714.0,0
1017,Chris,Brown,user1017@example.com,1234567891017,0.0,0.0,714.0,0
1018,John,Williams,user1018@example.com,1234567891018,0.0,0.0,714.0,0
1019,Chris,Jones,user1019@example.com,1234567891019,0.0,0.0,714.0,0
1020,Jane,Smith,user1020@example.com,1234567891020,183.58,1.0,710.0,0
1021,John,Smith,user1021@example.com,1234567891021,0.0,0.0,714.0,0
1022,John,Williams,user1022@example.com,1234567891022,0.0,0.0,714.0,0
1023,Jane,Jones,user1023@example.com,1234567891023,0.0,0.0,714.0,0
1024,Chris,Brown,user1024@example.com,1234567891024,0.0,0.0,714.0,0
1025,John,Johnson,user1025@example.com,1234567891025,436.5,1.0,713.0,1
1026,Jane,Brown,user1026@example.com,1234567891026,0.0,0.0,714.0,0
1027,Emily,Smith,user1027@example.com,1234567891027,0.0,0.0,714.0,0
1028,Alex,Jones,user1028@example.com,1234567891028,0.0,0.0,714.0,0
1029,Chris,Johnson,user1029@example.com,1234567891029,31.11,1.0,713.0,0
1030,Alex,Williams,user1030@example.com,1234567891030,92.37,1.0,702.0,0
1031,Jane,Jones,user1031@example.com,1234567891031,0.0,0.0,714.0,0
1032,Jane,Smith,user1032@example.com,1234567891032,0.0,0.0,714.0,0
1033,Alex,Johnson,user1033@example.com,1234567891033,114.21,1.0,683.0,0
1034,John,Johnson,user1034@example.com,1234567891034,0.0,0.0,714.0,0
1035,Jane,Brown,user1035@example.com,1234567891035,0.0,0.0,714.0,0
1036,Jane,Johnson,user1036@example.com,1234567891036,303.93,1.0,675.0,0
1037,Alex,Smith,user1037@example.com,1234567891037,0.0,0.0,714.0,0
1038,Alex,Brown,user1038@example.com,1234567891038,231.11,1.0,700.0,0
1039,John,Jones,user1039@example.com,1234567891039,0.0,0.0,714.0,0
1040,John,Jones,user1040@example.com,1234567891040,331.19,1.0,680.0,0
1041,Emily,Johnson,user1041@example.com,1234567891041,111.31,1.0,690.0,0
1042,John,Williams,user1042@example.com,1234567891042,0.0,0.0,714.0,0
1043,Jane,Johnson,user1043@example.com,1234567891043,446.92,1.0,692.0,1
1044,Alex,Brown,user1044@example.com,1234567891044,0.0,0.0,714.0,0
1045,Jane,Johnson,user1045@example.com,1234567891045,0.0,0.0,714.0,0
1046,Emily,Jones,user1046@example.com,1234567891046,0.0,0.0,714.0,0
1047,Jane,Johnson,user1047@example.com,1234567891047,0.0,0.0,714.0,0
1048,Alex,Jones,user1048@example.com,1234567891048,0.0,0.0,714.0,0
1049,Alex,Johnson,user1049@example.com,1234567891049,0.0,0.0,714.0,0
1050,Emily,Johnson,user1050@example.com,1234567891050,0.0,0.0,714.0,0
1051,John,Smith,user1051@example.com,1234567891051,0.0,0.0,714.0,0
1052,Jane,Brown,user1052@example.com,1234567891052,488.41,1.0,690.0,1
1053,Alex,Smith,user1053@example.com,1234567891053,321.03,2.0,691.0,0
1054,John,Brown,user1054@example.com,1234567891054,0.0,0.0,714.0,0
1055,John,Johnson,user1055@example.com,1234567891055,0.0,0.0,714.0,0
1056,Jane,Johnson,user1056@example.com,1234567891056,0.0,0.0,714.0,0
1057,Alex,Brown,user1057@example.com,1234567891057,0.0,0.0,714.0,0
1058,Chris,Brown,user1058@example.com,1234567891058,0.0,0.0,714.0,0
1059,Jane,Jones,user1059@example.com,1234567891059,87.22,1.0,695.0,0
1060,Emily,Brown,user1060@example.com,1234567891060,0.0,0.0,714.0,0
1061,Alex,Williams,user1061@example.com,1234567891061,0.0,0.0,714.0,0
1062,Emily,Smith,user1062@example.com,1234567891062,0.0,0.0,714.0,0
1063,Alex,Brown,user1063@example.com,1234567891063,8.54,1.0,685.0,0
1064,John,Williams,user1064@example.com,1234567891064,0.0,0.0,714.0,0
1065,Chris,Smith,user1065@example.com,1234567891065,121.87,1.0,676.0,0
1066,Jane,Smith,user1066@example.com,1234567891066,88.09,1.0,687.0,0
1067,John,Smith,user1067@example.com,1234567891067,0.0,0.0,714.0,0
1068,Alex,Brown,user1068@example.com,1234567891068,386.76,1.0,685.0,1
1069,Jane,Williams,user1069@example.com,1234567891069,0.0,0.0,714.0,0
1070,Jane,Brown,user1070@example.com,1234567891070,1093.8,3.0,676.0,1
1071,Emily,Jones,user1071@example.com,1234567891071,0.0,0.0,714.0,0
1072,John,Jones,user1072@example.com,1234567891072,0.0,0.0,714.0,0
1073,Jane,Johnson,user1073@example.com,1234567891073,0.0,0.0,714.0,0
1074,Alex,Jones,user1074@example.com,1234567891074,0.0,0.0,714.0,0
1075,Alex,Jones,user1075@example.com,1234567891075,0.0,0.0,714.0,0
1076,Jane,Smith,user1076@example.com,1234567891076,0.0,0.0,714.0,0
1077,Chris,Williams,user1077@example.com,1234567891077,0.0,0.0,714.0,0
1078,Emily,Smith,user1078@example.com,1234567891078,0.0,0.0,714.0,0
1079,Jane,Jones,user1079@example.com,1234567891079,49.29,1.0,690.0,0
1080,Emily,Williams,user1080@example.com,1234567891080,0.0,0.0,714.0,0
1081,Alex,Williams,user1081@example.com,1234567891081,0.0,0.0,714.0,0
1082,Emily,Williams,user1082@example.com,1234567891082,0.0,0.0,714.0,0
1083,Alex,Smith,user1083@example.com,1234567891083,411.45,1.0,685.0,1
1084,Alex,Williams,user1084@example.com,1234567891084,0.0,0.0,714.0,0
1085,John,Brown,user1085@example.com,1234567891085,0.0,0.0,714.0,0
1086,Emily,Johnson,user1086@example.com,1234567891086,0.0,0.0,714.0,0
1087,Alex,Smith,user1087@example.com,1234567891087,111.7,1.0,681.0,0
1088,Alex,Smith,user1088@example.com,1234567891088,0.0,0.0,714.0,0
1089,Chris,Williams,user1089@example.com,1234567891089,0.0,0.0,714.0,0
1090,Alex,Williams,user1090@example.com,1234567891090,40.9,1.0,711.0,0
1091,Jane,Jones,user1091@example.com,1234567891091,320.63,1.0,702.0,0
1092,Emily,Jones,user1092@example.com,1234567891092,0.0,0.0,714.0,0
1093,Chris,Johnson,user1093@example.com,1234567891093,0.0,0.0,714.0,0
1094,Emily,Smith,user1094@example.com,1234567891094,0.0,0.0,714.0,0
1095,Emily,Williams,user1095@example.com,1234567891095,0.0,0.0,714.0,0
1096,Alex,Williams,user1096@example.com,1234567891096,0.0,0.0,714.0,0
1097,Alex,Brown,user1097@example.com,1234567891097,0.0,0.0,714.0,0
1098,Chris,Johnson,user1098@example.com,1234567891098,335.08,1.0,702.0,0
1099,John,Smith,user1099@example.com,1234567891099,0.0,0.0,714.0,0
1100,Jane,Brown,user1100@example.com,1234567891100,0.0,0.0,714.0,0
1101,Emily,Johnson,user1101@example.com,1234567891101,0.0,0.0,714.0,0
1102,Jane,Smith,user1102@example.com,1234567891102,280.2,1.0,695.0,0
1103,Emily,Brown,user1103@example.com,1234567891103,0.0,0.0,714.0,0
1104,Chris,Jones,user1104@example.com,1234567891104,462.61,1.0,677.0,1
1105,Emily,Brown,user1105@example.com,1234567891105,0.0,0.0,714.0,0
1106,Chris,Johnson,user1106@example.com,1234567891106,0.0,0.0,714.0,0
1107,Chris,Johnson,user1107@example.com,1234567891107,350.35,1.0,683.0,1
1108,John,Johnson,user1108@example.com,1234567891108,0.0,0.0,714.0,0
1109,John,Jones,user1109@example.com,1234567891109,415.37,1.0,686.0,1
1110,Emily,Brown,user1110@example.com,1234567891110,0.0,0.0,714.0,0
1111,Emily,Jones,user1111@example.com,1234567891111,0.0,0.0,714.0,0
1112,John,Brown,user1112@example.com,1234567891112,0.0,0.0,714.0,0
1113,Chris,Brown,user1113@example.com,1234567891113,382.97,1.0,687.0,1
1114,Emily,Jones,user1114@example.com,1234567891114,321.55,1.0,687.0,0
1115,Emily,Jones,user1115@example.com,1234567891115,205.43,1.0,707.0,0
1116,Emily,Williams,user1116@example.com,1234567891116,0.0,0.0,714.0,0
1117,Emily,Brown,user1117@example.com,1234567891117,0.0,0.0,714.0,0
1118,Emily,Brown,user1118@example.com,1234567891118,272.42,1.0,681.0,0
1119,Jane,Brown,user1119@example.com,1234567891119,0.0,0.0,714.0,0
1120,Jane,Williams,user1120@example.com,1234567891120,56.94,1.0,705.0,0
1121,Chris,Williams,user1121@example.com,1234567891121,0.0,0.0,714.0,0
1122,Jane,Smith,user1122@example.com,1234567891122,209.04,1.0,694.0,0
1123,Jane,Williams,user1123@example.com,1234567891123,0.0,0.0,714.0,0
1124,Emily,Johnson,user1124@example.com,1234567891124,0.0,0.0,714.0,0
1125,Chris,Smith,user1125@example.com,1234567891125,599.78,2.0,675.0,1
1126,John,Williams,user1126@example.com,1234567891126,243.5,1.0,713.0,0
1127,Jane,Johnson,user1127@example.com,1234567891127,0.0,0.0,714.0,0
1128,Jane,Smith,user1128@example.com,1234567891128,0.0,0.0,714.0,0
1129,Emily,Brown,user1129@example.com,1234567891129,0.0,0.0,714.0,0
1130,Emily,Johnson,user1130@example.com,1234567891130,0.0,0.0,714.0,0
1131,John,Williams,user1131@example.com,1234567891131,0.0,0.0,714.0,0
1132,Emily,Brown,user1132@example.com,1234567891132,0.0,0.0,714.0,0
1133,Jane,Williams,user1133@example.com,1234567891133,0.0,0.0,714.0,0
1134,Jane,Williams,user1134@example.com,1234567891134,0.0,0.0,714.0,0
1135,Jane,Williams,user1135@example.com,1234567891135,0.0,0.0,714.0,0
1136,John,Johnson,user1136@example.com,1234567891136,0.0,0.0,714.0,0
1137,Emily,Jones,user1137@example.com,1234567891137,0.0,0.0,714.0,0
1138,Alex,Johnson,user1138@example.com,1234567891138,0.0,0.0,714.0,0
1139,Emily,Johnson,user1139@example.com,1234567891139,0.0,0.0,714.0,0
1140,Emily,Smith,user1140@example.com,1234567891140,525.38,2.0,692.0,1
1141,John,Johnson,user1141@example.com,1234567891141,0.0,0.0,714.0,0
1142,Jane,Jones,user1142@example.com,1234567891142,0.0,0.0,714.0,0
1143,Jane,Smith,user1143@example.com,1234567891143,0.0,0.0,714.0,0
1144,Emily,Williams,user1144@example.com,1234567891144,0.0,0.0,714.0,0
1145,Emily,Johnson,user1145@example.com,1234567891145,0.0,0.0,714.0,0
